Date,Time,.SS,InverterMotorCurrent,InverterMotorPower,InverterMotorTorque,InverterMotorTemp,Drive_SpeedSensorShaftToBasket
3/5/2026,10:41:55:.754,0.754,185,82,447,30,140
3/5/2026,10:41:55:.907,0.907,211,89,493,30,140
3/5/2026,10:41:56:.021,0.021,188,82,454,30,140
3/5/2026,10:41:56:.132,0.132,183,82,444,30,140
3/5/2026,10:41:56:.256,0.256,210,86,495,30,140
3/5/2026,10:41:56:.412,0.412,220,91,503,30,140
3/5/2026,10:41:56:.528,0.528,220,91,503,30,140
3/5/2026,10:41:56:.668,0.668,213,86,500,30,140
3/5/2026,10:41:56:.779,0.779,213,90,500,30,140
3/5/2026,10:41:56:.894,0.894,213,90,500,30,140
3/5/2026,10:41:57:.007,0.007,213,90,500,30,140
3/5/2026,10:41:57:.146,0.146,212,90,492,30,140
3/5/2026,10:41:57:.265,0.265,202,93,457,30,140
3/5/2026,10:41:57:.390,0.39,202,79,457,30,140
3/5/2026,10:41:57:.547,0.547,213,79,480,30,140
3/5/2026,10:41:57:.663,0.663,207,92,473,30,140
3/5/2026,10:41:57:.780,0.78,205,77,477,30,140
3/5/2026,10:41:57:.921,0.921,207,77,470,30,140
3/5/2026,10:41:58:.078,0.078,211,89,501,30,140
3/5/2026,10:41:58:.257,0.257,211,77,501,30,140
3/5/2026,10:41:58:.431,0.431,195,89,473,30,140
3/5/2026,10:41:58:.617,0.617,195,91,478,30,140
3/5/2026,10:41:58:.739,0.739,192,79,470,30,140
3/5/2026,10:41:58:.855,0.855,192,79,470,30,140
3/5/2026,10:41:58:.971,0.971,212,79,504,30,140
3/5/2026,10:41:59:.086,0.086,212,83,504,30,140
3/5/2026,10:41:59:.209,0.209,189,83,459,30,140
3/5/2026,10:41:59:.357,0.357,208,92,495,30,140
3/5/2026,10:41:59:.545,0.545,208,77,495,30,140
3/5/2026,10:41:59:.724,0.724,198,90,475,30,140
3/5/2026,10:41:59:.866,0.866,206,84,482,30,140
3/5/2026,10:41:59:.990,0.99,193,79,456,30,140
3/5/2026,10:42:00:.104,0.104,193,88,456,30,140
3/5/2026,10:42:00:.223,0.223,211,88,487,30,140
3/5/2026,10:42:00:.337,0.337,211,81,487,30,140
3/5/2026,10:42:00:.457,0.457,184,81,447,30,140
3/5/2026,10:42:00:.574,0.574,184,87,447,30,140
3/5/2026,10:42:00:.736,0.736,205,81,489,30,140
3/5/2026,10:42:00:.855,0.855,205,81,489,30,140
3/5/2026,10:42:00:.965,0.965,205,81,489,30,140
3/5/2026,10:42:01:.084,0.084,210,81,472,30,140
3/5/2026,10:42:01:.204,0.204,210,82,472,30,140
3/5/2026,10:42:01:.396,0.396,184,82,438,30,140
3/5/2026,10:42:01:.513,0.513,213,89,488,30,140
3/5/2026,10:42:01:.704,0.704,213,89,488,30,140
3/5/2026,10:42:01:.872,0.872,190,86,440,30,140
3/5/2026,10:42:02:.001,0.001,190,83,440,30,140
3/5/2026,10:42:02:.111,0.111,184,83,450,30,140
3/5/2026,10:42:02:.290,0.29,216,85,486,30,140
3/5/2026,10:42:02:.416,0.416,216,86,486,30,140
3/5/2026,10:42:02:.529,0.529,187,86,437,30,140
3/5/2026,10:42:02:.648,0.648,217,80,509,30,140
3/5/2026,10:42:02:.784,0.784,217,88,509,30,140
3/5/2026,10:42:02:.912,0.912,186,87,437,30,140
3/5/2026,10:42:03:.046,0.046,186,88,437,30,140
3/5/2026,10:42:03:.174,0.174,212,92,495,30,140
3/5/2026,10:42:03:.294,0.294,187,92,454,30,140
3/5/2026,10:42:03:.416,0.416,187,92,448,30,140
3/5/2026,10:42:03:.531,0.531,187,83,448,30,140
3/5/2026,10:42:03:.710,0.71,214,87,506,30,140
3/5/2026,10:42:03:.825,0.825,187,87,444,30,140
3/5/2026,10:42:03:.946,0.946,187,90,444,30,140
3/5/2026,10:42:04:.061,0.061,218,90,492,30,140
3/5/2026,10:42:04:.220,0.22,218,86,492,30,140
3/5/2026,10:42:04:.339,0.339,179,85,444,30,140
3/5/2026,10:42:04:.463,0.463,209,85,494,30,140
3/5/2026,10:42:04:.576,0.576,209,79,494,30,140
3/5/2026,10:42:04:.691,0.691,179,81,450,30,140
3/5/2026,10:42:04:.815,0.815,213,81,478,30,140
3/5/2026,10:42:04:.966,0.966,212,86,494,30,140
3/5/2026,10:42:05:.164,0.164,190,82,444,30,140
3/5/2026,10:42:05:.294,0.294,220,88,506,30,140
3/5/2026,10:42:05:.415,0.415,220,83,506,30,140
3/5/2026,10:42:05:.529,0.529,188,83,443,30,140
3/5/2026,10:42:05:.699,0.699,219,79,496,30,140
3/5/2026,10:42:05:.878,0.878,219,86,496,30,140
3/5/2026,10:42:05:.993,0.993,184,81,437,30,140
3/5/2026,10:42:06:.109,0.109,222,88,521,30,140
3/5/2026,10:42:06:.222,0.222,222,90,521,30,140
3/5/2026,10:42:06:.350,0.35,185,90,441,30,140
3/5/2026,10:42:06:.467,0.467,185,83,441,30,140
3/5/2026,10:42:06:.628,0.628,211,90,489,30,140
3/5/2026,10:42:06:.771,0.771,184,90,447,30,140
3/5/2026,10:42:06:.950,0.95,210,84,481,30,140
3/5/2026,10:42:07:.111,0.111,210,90,481,30,140
3/5/2026,10:42:07:.225,0.225,186,78,446,30,140
3/5/2026,10:42:07:.358,0.358,212,76,469,30,140
3/5/2026,10:42:07:.470,0.47,214,90,469,30,140
3/5/2026,10:42:07:.584,0.584,214,90,469,30,140
3/5/2026,10:42:07:.715,0.715,214,76,469,30,140
3/5/2026,10:42:07:.897,0.897,209,76,486,30,140
3/5/2026,10:42:08:.013,0.013,201,91,470,30,140
3/5/2026,10:42:08:.136,0.136,201,77,470,30,140
3/5/2026,10:42:08:.244,0.244,206,77,462,30,140
